2025-12-10 18:18:53.535535700 | SYSTEM | Finding user: Pardhiv
2025-12-10 18:18:53.536658300 | SYSTEM | Reading all users
2025-12-10 18:18:53.537660500 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:18:53.603476000 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:01.765633900 | SYSTEM | Finding user: test11
2025-12-10 18:19:01.766633600 | SYSTEM | Reading all users
2025-12-10 18:19:01.767633500 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:19:01.769633700 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:10.720520600 | SYSTEM | Finding user: test11
2025-12-10 18:19:10.730631200 | SYSTEM | Reading all users
2025-12-10 18:19:10.730631200 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:19:10.732630900 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:22.978858900 | SYSTEM | Finding user: Pardhiv
2025-12-10 18:19:22.978858900 | SYSTEM | Reading all users
2025-12-10 18:19:22.980133700 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:19:22.982149700 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:23.132804800 | SYSTEM | Reading all flights
2025-12-10 18:19:23.134804800 | SYSTEM | READ_LOCK acquired on flights.json
2025-12-10 18:19:23.167871500 | SYSTEM | READ_LOCK released on flights.json
2025-12-10 18:19:23.254073400 | SYSTEM | Finding user: Pardhiv
2025-12-10 18:19:23.255076900 | SYSTEM | Reading all users
2025-12-10 18:19:23.256239900 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:19:23.258422000 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:23.365035400 | SYSTEM | Loading all bookings
2025-12-10 18:19:23.367034900 | SYSTEM | READ_LOCK acquired on bookings.json
2025-12-10 18:19:23.372134000 | SYSTEM | READ_LOCK released on bookings.json
2025-12-10 18:19:23.411816900 | SYSTEM | Finding user: Pardhiv
2025-12-10 18:19:23.412817000 | SYSTEM | Reading all users
2025-12-10 18:19:23.414817300 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:19:23.416210800 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:23.525961500 | SYSTEM | Reading all flights
2025-12-10 18:19:23.528434200 | SYSTEM | READ_LOCK acquired on flights.json
2025-12-10 18:19:23.531560900 | SYSTEM | READ_LOCK released on flights.json
2025-12-10 18:19:35.127700200 | SYSTEM | Finding user: test11
2025-12-10 18:19:35.128700200 | SYSTEM | Reading all users
2025-12-10 18:19:35.129684600 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:19:35.131054000 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:35.234917700 | SYSTEM | Reading all users
2025-12-10 18:19:35.235900500 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:19:35.236988700 | SYSTEM | READ_LOCK released on users.json
2025-12-10 18:19:35.239366800 | INFO | Saving user: test11
2025-12-10 18:19:35.240364900 | SYSTEM | WRITE_LOCK acquired on users.json
2025-12-10 18:19:35.244856700 | SYSTEM | Successfully wrote to users.json
2025-12-10 18:19:35.244856700 | SYSTEM | WRITE_LOCK released on users.json
2025-12-10 18:19:35.245871500 | INFO | New user registered: test11
2025-12-10 18:21:38.451779600 | SYSTEM | Finding user: test10
2025-12-10 18:21:38.452773500 | SYSTEM | Reading all users
2025-12-10 18:21:38.452773500 | SYSTEM | READ_LOCK acquired on users.json
2025-12-10 18:21:38.455270600 | SYSTEM | READ_LOCK released on users.json
